classification	reason	file	line	column	value	context	decision	replacement
value_review	Owning entity file (FocusDatasetId)	specification/metadata/dataset_instance/focus_dataset.md	3	157	FOCUS Cost and Usage	"The identifier of the FOCUS dataset for which the schema and its data conform to. This indicates which FOCUS dataset the data artifact aligns with, such as ""FOCUS Cost and Usage"" or ""FOCUS Contract."""	owning_entity_review	`FOCUS Cost and Usage`
value_review	Owning entity file (FocusDatasetId)	specification/metadata/dataset_instance/focus_dataset.md	3	183	FOCUS Contract.	"The identifier of the FOCUS dataset for which the schema and its data conform to. This indicates which FOCUS dataset the data artifact aligns with, such as ""FOCUS Cost and Usage"" or ""FOCUS Contract."""	owning_entity_review	`FOCUS Contract`.
value_high	Entity predicate (ProviderTagPrefixes)	specification/metadata/schema/column_definition/providertagprefixes.md	7	195	Tags	"* ProviderTagPrefixes MUST be present in an object within the [ColumnDefinition](#metadata.schema.columndefinition) collection when [ColumnName](#metadata.schema.columndefinition.columnname) is ""Tags""."	classified_high	`Tags`
value_high	Explicit data-value wording	specification/attributes/delivery_handling.md	18	508	Correction	"For example, for Cost and Usage *FOCUS datasets*, a data generator may use Overwrite mechanism for *dataset artifacts* corresponding to an [*open billing period*](#glossary:open-billing-period), ensuring the snapshot reflects the most recent state, while using Append mechanism for [*closed billing periods*](#glossary:closed-billing-period) to preserve historical data and support auditing of corrections to previously *closed billing periods* (i.e., [*charges*](#glossary:charge) with Charge Class set to ""Correction"")."	classified_high	`Correction`
value_high	Entity designation	specification/glossary.md	79	104	Public	"* [Contract Commitment Offer Category](#datamodel.contractcommitment.contractcommitmentoffercategory): ""Public"""	classified_high	`Public`
value_high	Entity designation	specification/glossary.md	80	108	Discount	"* [Contract Commitment Benefit Category](#datamodel.contractcommitment.contractcommitmentbenefitcategory): ""Discount"""	classified_high	`Discount`
value_high	Entity designation	specification/glossary.md	81	87	Continuous	"* [Contract Commitment Model](#datamodel.contractcommitment.contractcommitmentmodel): ""Continuous"""	classified_high	`Continuous`
value_high	Linked entity predicate	specification/glossary.md	200	257	Issued	"An [*invoice*](#glossary:invoice) that has been formally [*reconciled*](#glossary:invoice-reconciliation) and issued by the designated [*invoice issuer*](#glossary:invoice-issuer) ([Invoice Issue Status](#datamodel.invoicedetail.invoiceissuestatus) set to ""Issued""). Once issued, the invoice becomes the authoritative financial document and is considered finalized. The financial data presented on the invoice is not expected to change."	classified_high	`Issued`
value_high	Entity designation	specification/glossary.md	232	104	Negotiated	"* [Contract Commitment Offer Category](#datamodel.contractcommitment.contractcommitmentoffercategory): ""Negotiated"""	classified_high	`Negotiated`
value_high	Entity designation	specification/glossary.md	233	108	Discount	"* [Contract Commitment Benefit Category](#datamodel.contractcommitment.contractcommitmentbenefitcategory): ""Discount"""	classified_high	`Discount`
value_high	Linked entity predicate	specification/glossary.md	241	130	Open	"A [*billing period*](#glossary:billing-period) with [Billing Period Status](#datamodel.billingperiod.billingperiodstatus) set to ""Open"". Billing activities are ongoing, and the period remains subject to updates until formally closed."	classified_high	`Open`
