classification	reason	file	line	column	value	context	decision	rationale
ambiguous	No deterministic value relationship	.ai/commands/feature.md	93	64	when	"`-M` = MUST/MUST NOT | `-O` = SHOULD/MAY | `-C` = Conditional (""when""/""unless"" in text)"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.ai/commands/feature.md	93	71	unless	"`-M` = MUST/MUST NOT | `-O` = SHOULD/MAY | `-C` = Conditional (""when""/""unless"" in text)"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.ai/commands/pr-update.md	49	43	No threads require responses	"* If no threads need responses, report ""No threads require responses"" and exit"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.ai/commands/pr-update.md	83	7	needs discussion	"**For ""needs discussion"" and ""question"" responses:** Post autonomously without user approval."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.ai/commands/pr-update.md	83	30	question	"**For ""needs discussion"" and ""question"" responses:** Post autonomously without user approval."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.ai/commands/pr-update.md	107	15	needs discussion	"* Post all ""needs discussion"" responses immediately"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.ai/commands/pr-update.md	108	15	question	"* Post all ""question"" responses immediately"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.ai/commands/pr-update.md	123	11	implemented	"* Post ""implemented"" responses for completed changes"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.ai/commands/pr-update.md	166	36	response text	"gh pr comment $PR_NUMBER --body ""response text"""	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.ai/commands/pr-update.md	172	87	response text	"gh api repos/{owner}/{repo}/pulls/$PR_NUMBER/comments/{comment_id}/replies -f body=""response text"""	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.ai/commands/pr-update.md	183	11	Would you like to review the changes before committing?	"* Ask: ""Would you like to review the changes before committing?"""	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.claude/commands/feature.md	3	16	<issue-number>	"argument-hint: ""<issue-number>"""	skip_identifier	YAML argument-hint placeholder, not a string data value in Markdown prose.
ambiguous	No deterministic value relationship	.claude/commands/pr-update.md	3	16	<pr-number>	"argument-hint: ""<pr-number>"""	skip_identifier	YAML argument-hint placeholder, not a string data value in Markdown prose.
ambiguous	No deterministic value relationship	.github/ISSUE_TEMPLATE/feature-request.md	4	8	[FR] 	"title: ""[FR] """	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.github/ISSUE_TEMPLATE/feature-request.md	11	41	Requester Information	"> **For Requesters:** Complete only the ""Requester Information"" section below (estimated time: 10-15 minutes). The ""Maintainer Assessment"" section will be completed by FOCUS Maintainers during triage."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.github/ISSUE_TEMPLATE/feature-request.md	11	116	Maintainer Assessment	"> **For Requesters:** Complete only the ""Requester Information"" section below (estimated time: 10-15 minutes). The ""Maintainer Assessment"" section will be completed by FOCUS Maintainers during triage."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.github/ISSUE_TEMPLATE/feature-request.md	51	69	add column X	"**Example** *(describe what you can DO, not structural changes like ""add column X""):*"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.github/ISSUE_TEMPLATE/feature-request.md	91	97	Unknown.	"Do data generators already support this concept in their native billing data? It's OK to select ""Unknown."" Maintainers will validate during triage."	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.github/ISSUE_TEMPLATE/feature-request.md	146	139	Create	"> **STOP:** The sections below are for FOCUS Maintainers only. Requesters do not need to fill these out. **Scroll to the bottom and click ""Create"" to submit your request.**"	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
ambiguous	No deterministic value relationship	.github/ISSUE_TEMPLATE/work-item.md	3	8	[WI]	"title: ""[WI]"""	skip_manual_review	Human-reviewed ordinary quotation, terminology, identifier, or format notation rather than a string data value.
exclude_json	JSON syntax	.github/ISSUE_TEMPLATE/work-item.md	4	10	work item	"labels: [""work item""]"	skip_json	Double quotes are required by JSON or embedded code syntax.
ambiguous	No deterministic value relationship	AGENTS.md	101	92	REQUIRED	"* **BCP-14 Keywords:** Use MUST, MUST NOT, SHOULD, SHOULD NOT, MAY (uppercase). NEVER use: ""REQUIRED"", ""SHALL"", ""SHALL NOT"", ""RECOMMENDED"", ""NOT RECOMMENDED"", ""OPTIONAL""."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	101	104	SHALL	"* **BCP-14 Keywords:** Use MUST, MUST NOT, SHOULD, SHOULD NOT, MAY (uppercase). NEVER use: ""REQUIRED"", ""SHALL"", ""SHALL NOT"", ""RECOMMENDED"", ""NOT RECOMMENDED"", ""OPTIONAL""."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
ambiguous	No deterministic value relationship	AGENTS.md	101	113	SHALL NOT	"* **BCP-14 Keywords:** Use MUST, MUST NOT, SHOULD, SHOULD NOT, MAY (uppercase). NEVER use: ""REQUIRED"", ""SHALL"", ""SHALL NOT"", ""RECOMMENDED"", ""NOT RECOMMENDED"", ""OPTIONAL""."	skip_guidance_reviewed	Contributor guidance was reviewed separately because its render-safe edits are not manifest-only substitutions.
